April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Smith,76.8,76.3,74.3,72.0,68.9,70.6,70.4,72.1,74.2,78.8,76.6,78.6,79.5,77.8,75.0,75.4,79.4,80.7,76.1,71.8,76.5,76.6,76.8,77.1,78.8,76.5,77.4,79.9,79.8,75.7
Stevenson,82.5,83.8,86.0,84.7,81.2,74.5,73.7,73.3,77.8,77.5,80.2,81.2,83.0,82.2,80.3,80.4,81.5,84.3,83.7,83.0,84.8,84.8,85.0,84.7,85.6,85.5,85.1,85.0,83.7,84.9
Stiles,80.1,84.9,85.0,87.0,78.6,64.1,71.5,76.9,77.4,79.7,78.4,77.6,77.6,78.9,77.0,77.6,79.8,82.4,82.2,84.1,78.7,82.3,78.4,85.2,85.7,84.9,83.5,85.8,84.7,85.6
Stringfellow,80.9,78.9,83.1,82.0,81.0,78.9,75.9,77.1,73.3,76.1,78.8,77.0,79.6,80.5,77.5,78.8,80.0,82.1,82.1,82.8,80.0,83.5,80.4,80.6,82.7,84.4,81.7,83.3,80.5,83.8
Telford,73.8,75.5,71.5,77.7,73.2,64.4,66.0,68.5,69.2,75.2,75.6,75.3,76.1,76.5,73.7,73.4,73.8,78.4,77.8,78.1,75.3,76.7,74.7,74.3,77.1,80.0,78.9,79.5,80.6,72.9
Terrell,81.0,83.2,84.4,84.1,81.5,67.4,68.7,71.5,76.2,80.9,82.6,78.1,79.6,83.4,79.0,78.5,82.2,84.3,82.3,84.1,78.0,77.9,80.3,83.4,83.3,83.7,85.5,82.9,80.6,83.2
Torres,85.0,87.2,86.8,85.5,74.8,69.8,76.5,78.0,78.8,79.5,84.4,81.0,84.5,84.1,82.2,80.7,81.8,83.9,81.4,81.0,80.9,78.1,83.6,88.2,82.3,80.5,85.5,84.0,89.3,88.1
Vance,85.0,82.1,86.2,84.6,75.0,68.9,72.6,74.5,79.7,83.5,84.9,83.9,83.8,85.1,79.3,83.9,84.7,86.1,82.2,86.1,84.0,86.6,83.1,83.5,84.8,85.3,86.7,85.0,82.2,83.7
Wainwright,77.6,80.3,82.2,84.5,75.9,77.5,68.6,72.2,73.3,76.8,79.1,77.1,81.2,80.9,80.6,79.2,81.5,83.6,81.2,83.0,82.0,83.5,82.8,82.7,81.8,82.2,82.6,83.0,82.6,81.8
Wallace,87.6,77.9,77.5,72.7,71.0,75.3,72.6,76.7,79.9,84.9,82.9,88.4,81.0,81.7,78.2,81.3,86.4,85.0,70.1,79.8,76.0,86.0,85.1,83.3,83.0,80.3,81.0,85.2,83.4,80.6
Wheeler,78.3,75.9,76.7,71.0,75.8,75.4,75.5,74.8,75.6,75.9,72.9,81.1,81.9,71.5,72.6,77.0,83.0,71.6,76.2,78.0,77.0,77.1,80.3,75.5,74.7,72.6,80.9,83.6,73.2,76.9
Woodman,82.0,88.0,76.6,71.0,67.3,68.6,74.0,77.4,82.0,85.1,81.1,83.5,82.0,82.8,77.9,80.3,82.5,86.2,79.4,78.9,80.5,85.0,82.0,68.5,84.9,82.1,79.1,80.5,83.7,71.3
Wynne,76.4,79.1,89.1,83.9,71.3,68.0,66.9,72.8,75.0,78.0,79.0,81.2,81.3,80.6,78.0,80.5,81.6,83.3,81.2,81.3,80.1,82.0,81.2,82.9,81.8,82.5,84.1,82.7,84.8,87.9
