unit_name,unit_code,region,slug,url,notes_gid,notes
Glossbrenner,SO,IV,r4-glossbrenner,https://docs.google.com/spreadsheets/d/e/2PACX-1vTUwISd1OSbeOmqR-C-kxRik5b4fW72fu0Zl3VzCP30pWTXn-x43f8ZeJ5ddEW7fVzI1E-IptBp5lz-/pub?output=csv,1104160789,
Lopez,RL,IV,r4-lopez,https://docs.google.com/spreadsheets/d/e/2PACX-1vTRxh7EtEsSHlI3pDQY8DMA9jKj20E40cKCOtVZAmOZkl0yGqjbXgwRKnsJjmneLPymcl-sEjmgp-Ix/pub?output=csv,1200388890,same file listed for r4-segovia
Lynaugh,LH,IV,r4-lynaugh,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtqh1aED2VKP8xYhf_ZaiKsGlqcSonlh7YT2NZ39nkdwpE4FBTmrswxHnGNf4HFhaZtTK7ITBA6U1T/pub?output=csv,1586419097,
McConnell,ML,IV,r4-mcconnell,https://docs.google.com/spreadsheets/d/e/2PACX-1vTVQVmmOb4n04V3f_Mrxar5bdaApZAeHsNpBMtXQGhbBNGW6nvgikMdzH_4otTxoqqIsofYnuWWF3GQ/pub?output=csv,326487505,
Ney,HF,IV,NA,,,Listed as Torres/Joe Ney. Same file as Torres.
Sanchez,RZ,IV,r4-sanchez,https://docs.google.com/spreadsheets/d/e/2PACX-1vQMTACUyKGSJENVf-CbXMBqdR4Pi4LP6-mg0VrhpcXJcUAJwHtf5_-Pr_1V_260Q7jXAvineu4sOnG9/pub?output=csv,354466257,
Segovia,EN,IV,NA,,,"same file as r4-lopez, pre-release"
Stevenson,SB,IV,r4-stevenson,https://docs.google.com/spreadsheets/d/e/2PACX-1vQYCXs30eB_ZNJAg89WPg-TlJEI6SZy9p47BYhUUXGRwyonQhgtJbTBVPI8UGBViEIc7Owc4KQW75MG/pub?output=csv,1937996495,
Torres,TE,IV,r4-torres,https://docs.google.com/spreadsheets/d/e/2PACX-1vSS-U7L6BxDIb_gzWbV6-2rZ4TU8QMXM1M_VpXgh1-NXGyR-WCYfrJPsntDavEQjL60wnGmOpiQPGxk/pub?output=csv,544971409,Listed as Torres/Joe Ney. Same file as Ney.
Allred,JA,V,r5-allred,https://docs.google.com/spreadsheets/d/e/2PACX-1vR99w5d5VX-SbWrd1U1dBczx_DJrSCCA1Dl9pNXyV_KtpTZEyuEguPy8tH58Vz0ABCQLwy3wCnf4tA5/pub?gid=0&single=true&output=csv,1950712637,
Baten,NJ,V,NA,,,Listed as Jordan-Baten
Clements,BC,V,NA,,,Log is from January
Dalhart,DH,V,r5-dalhart,https://docs.google.com/spreadsheets/d/e/2PACX-1vTWZnPMpYv2Vjr7i1teE7ENccXQOsGW98z-jlX3rDicP24NBAjh-k46ULbqB-whvVrNwj-5kgmbsJZ7/pub?output=csv,407484631,
Daniel,DL,V,r5-daniel,https://docs.google.com/spreadsheets/d/e/2PACX-1vQMNX0V51NlVCRPc2y7j0gJgSECOn0jgFEfMCfqrq8S5iJIsvmfPmEWRpDS1UPoLxSCUxg0imZsUF9N/pub?output=csv,1125053059,
Formby,FB,V,r5-formby,https://docs.google.com/spreadsheets/d/e/2PACX-1vSkEQeRJLdHlDdQaUAODnXLzKnXZSr9rDHd1ICVnYOYmwDlrLK0OQTMpbJR6qtdqoxVxqXt7k8hoxG2/pub?output=csv,1310080125,
Jordan,JN,V,r5-jordan,https://docs.google.com/spreadsheets/d/e/2PACX-1vRimlTNOkHreNLPhh6eE1GdFc2WENdoxA0-DnAz47v9TaYq_CnnIzlO_vVJ4I5URzUvb7e6qMS4NKHH/pub?output=csv,1320705430,Listed as Jordan-Baten
Mechler,N3,V,r5-mechler,https://docs.google.com/spreadsheets/d/e/2PACX-1vRxSxD4z5ucNUuKhf0NIGPszRcej6R_RqtgSVA0eiiUyVjJqXe4T6PcsC593iSjiM51v7KwkIjAwfYo/pub?output=csv,715869797,
Montford/West Texas Hospital,JM,V,r5-montford,https://docs.google.com/spreadsheets/d/e/2PACX-1vToj_YKfQlL_ZvNFPKItQQDR01HhQu5Fsp0Z2xSSXvaYZrn_Xuw1kh0JDwBV-wSk-uoZhdG7C4Rytw1/pub?output=csv,521560001,
Roach,RH,V,r5-roach,https://docs.google.com/spreadsheets/d/e/2PACX-1vTEZo9G5tci2JYwB27kkIwpdK6JFtEFq7cDWenLBLe7JsY_xFxAuupWXUBMzQERnDu44-V5x48tm2ro/pub?output=csv,521560001,
Smith,SM,V,r5-smith,https://docs.google.com/spreadsheets/d/e/2PACX-1vR3DhKOQ2j67NA7bBnkG7jupSC9tR9gMEaBBL5094bU-Y1_ef5fwAZxfbLvVgls2j0jRIqETdZ95tLT/pub?output=csv,521560001,
Wallace/San Angelo Work Camp,WL,V,r5-wallace,https://docs.google.com/spreadsheets/d/e/2PACX-1vRrKjLwdAlb3c6LYTvw9GA_6V8iFtMWv5BRAH8gxsyfRR3MZZP88PMRDHjnS3i9i5bwi7G5ZOum_K_i/pub?output=csv,1957810682,
Wheeler,WR,V,r5-wheeler,https://docs.google.com/spreadsheets/d/e/2PACX-1vTvnI-Qy8v766WXRaN5nW-1neuNzZaNDdfgO6rOWDLWnd8C1jfCAqqb_NLsoLL-aJrVy60_DATUXCo6/pub?gid=0&single=true&output=csv,1957810682,
Crain,GV,VI,r6-crain,https://docs.google.com/spreadsheets/d/e/2PACX-1vT4Ovg7Fp4bPwZz2vbv1bOIQCVtZBG_bStYdxcxoeAbI745hYyv1RkGpsLBD6rlac5wvSQp6O_njTBh/pub?output=csv,1226369806,
Halbert,BB,VI,r6-halbert,https://docs.google.com/spreadsheets/d/e/2PACX-1vRO87ZyHrFW_7T9mDzNDpwKrpdxm3KYrAj2H7UcFqZP9WRFsmHuYnzG77tNIeS0a3-sqE8R7IMbtAdW/pub?output=csv,1267941367,
Hamilton,JH,VI,r6-hamilton,https://docs.google.com/spreadsheets/d/e/2PACX-1vS8SN4JwMP3ZvZK-l9pac65G4Vtfzd5LPI7leDLJ7Kc1tAaZgbj9RYOHHt2GiuUHn3pAFZjshdw-LvH/pub?output=csv,1105349325,
Havins,TH,VI,r6-havins,https://docs.google.com/spreadsheets/d/e/2PACX-1vSdhzB8nbc_R748cBiEsQjRVeAo4fwOHl3fzcsNzMkyponNYEEQ92p5cUl6kku7WOI9RMX4Cp95d_wr/pub?output=csv,809150569,
Hilltop,HT,VI,r6-hilltop,https://docs.google.com/spreadsheets/d/e/2PACX-1vRs_d2lRbKBgsTT-tvODuPLRoNFE5AovfiB9X0ruK5a55Wgwh0zLOte2-CbzfCmSVuxDNCK7iXBuQya/pub?output=csv,1214398962,
Hobby,HB,VI,r6-hobby,https://docs.google.com/spreadsheets/d/e/2PACX-1vS3AXbYGDs5NSnmUVvvhxS29bMA-OA8pwmsOK6-ibPeBoY2VDgOJALLEEaCzFcXAMgquLv7G7iW9472/pub?output=csv,393548900,
Hughes,AH,VI,r6-hughes,https://docs.google.com/spreadsheets/d/e/2PACX-1vRxmlON6OsSwzcQQ9ut6UkVe_Ein7KiWiol6tpW0pzn6F2Nxvuj4Gz33cZut6rRTzbdESswJG2MPgVy/pub?output=csv,2142585967,
Luther,P2,VI,r6-luther,https://docs.google.com/spreadsheets/d/e/2PACX-1vR77pcWW__ebNdsQS_LAOlIloGe9n1d_F23ALZqGn97LGgzhI9kmuO692eaeoVxasTuRYveEajZaORJ/pub?output=csv,1686763152,
Marlin,N1,VI,r6-marlin,https://docs.google.com/spreadsheets/d/e/2PACX-1vRGbc-ETBHKscPbemKe01Bvt9nVC6SPEvMlR2wiveeMXYlm50etxqc0mze9VRrxKPwo-GJLhTkt4WqU/pub?output=csv,1008513698,
Middleton,NE,VI,r6-middleton,https://docs.google.com/spreadsheets/d/e/2PACX-1vSKKIXH6Bycl264MLVq9CNrZAkz2ddSlzRXfd3sdf6r3QMm3R86nzPYtEUDGH3QC-Be0qwRpdAxhXtI/pub?output=csv,1849558318,
Murray,LM,VI,r6-o-daniel,https://docs.google.com/spreadsheets/d/e/2PACX-1vR8cnvVE52pBC52GZD2aX-dRvjoJtG4aYLj380LCw_RPUfqrYc_gx4H558Q-K8CG27HzpLS9JCJ8w5i/pub?output=csv,361473234,
O'Daniel,MV,VI,,,,Listed as Mt. View. Same file as Woodman
Pack,P1,VI,r6-pack,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ-4fCRtRGr2gFF7rqDeHtO5Msc9b3X10gw4PkyfhvJAn_7IaQYwmSbvgejCikVi-mLmIV_xO8jIVd3/pub?output=csv,1807507146,
Robertson,RB,VI,r6-robertson,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_EwkCz3-hNizbRP4keCDFrlIUEFa-oIPF0k589rRKdZv4YIqHtCAuzk0VBaIfAV2IoJ8f9jSDBhO9/pub?output=csv,1202127483,
San Saba,N2,VI,r6-san-saba,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKpVpzTVuvSLKHzzzFR103RKy3_RP0mXRwHnmgZUBBo7u21iiQApr6YtOHE9WDOorKySaa8N_6Th6c/pub?output=csv,1303115158,
Sayle,SY,VI,r6-sayle,https://docs.google.com/spreadsheets/d/e/2PACX-1vTseRXUc0I5DvyMvXRCiHCDzTRQu0SldqNvOYPRMtOPbodHp4roEVv_9JXSvBbWnhvG0mrxBpVX0h0b/pub?output=csv,1078750609,
Travis County,TI,VI,r6-travis-county,https://docs.google.com/spreadsheets/d/e/2PACX-1vR_8zv7PtoYTeeIysDnFfwjOpww71PpK9oHl0jPxwkd6STyj9axd3eAo2G420PPsfaXDO7TUK5IJLo0/pub?output=csv,804733578,
Woodman,WM,VI,r6-woodman,https://docs.google.com/spreadsheets/d/e/2PACX-1vRhHaxBIZBxuLxO8tAjbDZFP44YzAjOKUEbrp3kaeGcNzrrwhie8K8_Q8-3_DXQGlmC6WCTa4-DwDXF/pub?output=csv,480760589,Listed as Mt. View. Same file as O'Daniel
Bradshaw,BH,Private,,,,
Bridgeport,BR,Private,,,,
Coleman,LC,Private,,,,
East Texas,XQ,Private,,,,
Kyle,KY,Private,,,,
Lindsey,LN,Private,,,,
"Moore, B.",BM,Private,,,,
Willacy County,WI,Private,,,,
