July 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Estelle,89.1,89.2,86.7,90.0,91.0,91.2,86.2,76.5,82.1,87.2,85.5,86.1,84.3,84.6,84.8,84.7,88.0,84.9,84.9,83.2,87.4,83.0,80.4,82.3,79.6,81.0,81.8,84.9,85.2,81.8,83.6
Ferguson,93.5,91.8,92.3,89.1,90.9,87.3,87.4,78.0,85.5,87.8,89.9,86.9,88.0,87.8,90.2,90.4,90.7,87.3,86.7,86.3,85.2,82.7,80.5,84.5,80.2,81.6,82.9,86.3,90.1,89.7,90.2
Formby,89.4,90.3,89.0,89.5,82.0,86.7,88.0,82.1,87.5,86.7,86.8,88.1,85.5,83.4,89.8,90.0,87.6,82.4,88.8,88.6,85.6,78.3,84.4,85.2,87.9,88.3,88.1,86.3,91.2,90.2,89.3
Garza East,94.7,94.7,93.2,93.6,93.8,96.5,91.9,92.5,97.2,86.7,85.5,85.6,89.5,90.4,94.5,92.6,95.9,88.4,92.6,93.0,94.5,92.1,92.1,89.3,83.8,80.2,87.2,77.0,92.3,92.9,92.8
Garza West,98.0,99.5,98.7,98.4,97.0,95.1,95.2,96.5,94.5,87.5,91.8,88.0,94.6,95.3,96.1,96.5,98.9,93.3,95.5,96.3,98.4,94.9,94.8,92.0,90.9,85.1,91.2,81.9,95.8,81.9,96.8
Gist,96.4,95.7,90.0,93.4,94.6,84.7,84.6,80.0,92.8,93.2,85.7,84.0,88.0,91.4,91.3,96.2,87.8,89.1,89.7,88.2,85.9,86.5,83.1,81.2,80.3,84.5,82.5,89.6,92.5,92.6,93.5
Goodman,73.6,87.2,86.6,86.7,89.7,84.4,79.4,77.1,87.4,89.9,86.4,84.3,87.5,83.5,87.0,89.3,88.8,80.1,86.1,88.2,86.9,82.2,83.7,78.1,79.1,79.9,77.1,86.1,85.5,81.5,82.3
Goree,96.5,92.8,92.2,96.6,94.1,96.0,84.5,76.9,83.3,84.4,84.8,83.6,84.4,86.5,93.2,95.9,97.1,89.4,90.1,86.5,83.7,78.9,78.1,83.9,78.1,80.1,82.2,88.2,95.5,97.0,93.2
Hightower,91.4,91.2,90.4,88.1,90.1,89.1,84.8,78.9,85.9,89.2,84.4,79.6,83.3,84.7,89.4,89.3,87.3,85.3,87.3,88.4,85.9,85.5,84.2,82.9,80.5,79.2,83.3,82.6,89.5,89.2,89.6
Hilltop,85.0,88.8,89.2,88.7,89.6,87.0,92.7,84.1,85.2,86.2,87.5,87.0,85.5,86.1,87.2,91.5,88.1,84.5,85.6,87.2,80.3,80.8,79.5,80.3,81.2,80.4,83.3,82.8,87.7,94.5,90.0
Hobby,91.4,91.2,90.5,91.1,91.4,89.5,90.1,85.2,84.7,87.9,89.2,88.5,86.1,86.5,89.9,89.3,90.5,88.8,88.5,86.9,86.5,83.9,79.9,82.5,82.6,82.7,83.3,85.0,88.9,90.2,90.2
Holliday,90.1,91.1,89.7,89.1,91.5,88.6,90.8,80.4,86.8,87.7,94.1,83.2,83.8,88.3,88.4,91.6,88.6,83.2,89.6,85.5,86.4,84.5,84.2,84.2,79.1,79.9,81.1,82.3,86.6,86.2,87.8
Hughes,87.2,89.1,91.8,89.9,91.4,86.0,88.8,84.3,85.6,85.6,90.5,83.1,85.8,91.3,90.1,86.4,85.9,87.0,87.5,90.5,84.4,79.4,79.6,84.0,83.2,83.1,85.3,86.6,85.6,89.0,83.0
Huntsville,91.6,91.6,90.0,90.8,91.5,90.3,84.9,78.2,85.0,89.5,90.7,86.8,85.4,85.9,89.1,90.5,91.2,86.1,88.3,89.3,90.4,80.5,80.1,85.2,78.1,79.0,80.9,84.2,88.8,90.4,90.6
Hutchins,95.5,96.5,96.2,94.3,91.1,91.6,92.9,85.1,88.8,90.4,92.2,91.2,90.4,91.6,93.1,93.4,88.0,90.1,89.4,89.3,84.4,85.3,83.4,86.6,88.6,84.1,87.5,88.3,90.4,91.1,90.5
Jester III,90.0,94.1,93.3,97.8,96.1,87.2,80.7,81.4,92.1,91.5,85.6,84.9,85.6,86.4,90.1,92.6,89.6,81.4,85.6,87.5,88.4,86.1,81.7,85.3,79.1,79.1,77.5,83.5,86.9,88.3,89.7
Jordan,86.7,85.9,84.9,86.9,80.1,83.9,82.3,81.3,81.0,82.1,83.4,84.5,85.2,87.1,90.8,91.7,89.1,86.2,84.6,85.5,82.4,81.2,81.7,83.6,82.8,85.1,83.5,83.6,87.8,88.8,91.2
Lewis,97.1,100.4,101.2,96.7,99.5,95.5,89.1,83.6,87.3,92.5,92.7,93.5,83.0,86.6,96.0,89.1,97.1,91.2,87.0,91.6,91.8,84.1,77.9,77.0,79.9,77.4,87.9,82.0,92.4,97.1,98.1
Lopez,89.7,91.8,93.2,92.8,93.2,89.8,88.4,88.7,96.7,81.3,81.8,85.6,93.0,89.4,88.9,88.3,89.2,89.7,88.9,92.9,91.0,84.7,87.9,81.2,85.2,82.6,84.1,85.9,91.3,89.5,91.3
Luther,90.8,89.9,89.4,87.8,89.6,89.5,82.3,81.7,85.6,88.6,87.5,80.5,81.5,84.5,98.2,87.8,88.7,84.3,85.7,81.6,87.2,86.1,80.9,81.2,77.8,78.6,78.7,81.0,86.0,87.7,89.7
Lychner,94.6,96.2,93.1,92.3,92.6,81.3,86.8,83.7,93.6,93.4,88.9,83.1,89.9,90.9,94.0,94.4,90.9,89.3,94.4,90.9,95.1,91.0,90.4,89.4,82.5,84.7,85.3,83.7,93.0,94.6,94.8
Lynaugh,87.3,96.6,92.9,92.7,88.6,90.4,89.3,84.7,88.3,84.5,85.8,85.3,84.4,85.7,83.5,90.2,85.3,83.0,82.1,87.1,86.0,77.2,77.4,82.7,84.2,84.4,87.3,88.2,88.0,89.2,92.2
Mcconnell,92.1,91.8,90.5,90.8,91.2,91.1,86.2,89.2,90.2,87.2,85.6,88.5,86.6,88.9,91.1,89.4,89.9,89.1,89.5,89.8,88.5,88.2,81.1,84.2,85.0,84.2,83.5,80.4,85.6,88.9,89.2
Memorial,88.1,89.3,89.7,87.7,86.5,91.7,87.1,80.7,84.7,87.1,83.9,88.7,86.1,85.7,85.3,86.0,89.0,82.3,85.6,83.5,81.8,88.4,87.3,82.3,79.6,82.2,77.4,81.1,86.7,87.4,88.4
Michael,90.8,91.0,90.5,92.1,90.6,89.3,89.4,82.5,83.7,86.4,86.7,87.2,85.1,86.8,89.8,87.4,88.5,85.8,90.6,85.3,84.5,83.2,81.2,84.3,83.1,81.6,82.9,84.9,88.2,89.2,90.5
Middleton,97.0,97.8,97.2,98.3,82.3,92.5,95.0,90.2,88.8,92.2,92.0,92.2,92.0,93.7,96.8,97.5,95.9,91.4,90.2,92.7,93.5,85.3,87.0,91.1,90.4,92.8,93.0,91.7,93.5,96.3,98.2
Montford,90.4,92.5,93.2,94.6,81.7,83.4,90.6,82.7,85.1,86.2,86.8,89.2,88.6,90.4,92.4,91.0,91.6,87.7,85.9,86.8,83.5,80.1,81.9,85.9,89.4,87.1,89.3,89.2,90.2,89.2,90.4
"Moore, C.",97.8,94.6,96.4,97.4,91.4,91.3,86.4,85.1,88.7,93.0,94.2,94.9,95.2,96.0,96.1,97.6,84.7,81.8,89.0,92.2,81.1,86.2,78.3,87.8,89.6,88.5,88.4,91.2,92.6,94.8,94.4
Murray,88.6,97.5,94.2,89.1,89.6,82.8,83.5,82.9,84.9,87.3,85.4,88.8,84.0,83.4,87.2,86.9,87.4,83.4,86.2,84.1,82.3,82.4,83.0,83.5,80.1,82.7,83.2,84.6,82.3,84.7,86.3
O'Daniel,97.8,97.4,94.7,94.0,96.0,89.5,95.1,89.6,89.0,89.5,93.9,95.0,97.1,89.6,97.0,93.0,93.6,91.2,90.2,90.0,83.7,84.4,86.4,88.8,89.9,89.2,84.6,85.8,99.8,99.7,93.2
Plane,93.6,89.0,92.8,92.1,90.5,87.6,88.1,85.1,90.9,90.4,86.3,81.5,87.2,97.1,91.7,90.7,88.1,95.4,87.3,87.1,99.4,85.8,85.8,80.4,79.4,82.4,88.7,90.1,89.7,88.7,90.5
July 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Polunsky,92.1,91.3,92.5,91.1,91.4,89.5,85.9,79.8,85.2,89.8,89.0,84.8,86.0,86.5,90.5,90.5,91.3,86.0,87.4,87.9,89.1,82.5,83.0,83.6,78.8,81.2,80.2,89.2,88.7,90.1,89.2
Powledge,91.6,91.9,90.2,90.9,90.8,99.8,99.7,82.0,82.1,85.4,89.6,89.5,88.6,89.8,92.8,95.8,94.9,86.3,89.6,85.7,85.1,85.5,82.0,85.1,82.9,83.0,84.3,86.0,87.5,89.9,90.8
Ramsey,92.6,92.3,92.6,92.4,90.2,92.4,87.2,81.8,86.4,88.4,83.3,82.5,85.6,86.6,87.0,88.5,89.3,84.8,86.2,87.6,82.0,86.1,91.1,84.2,80.6,82.2,81.9,83.8,87.9,98.9,94.2
Roach,91.1,91.8,90.6,93.0,74.6,80.0,84.5,80.1,84.4,86.9,87.2,88.7,88.9,90.9,90.7,91.9,89.2,87.4,86.0,88.8,87.3,84.7,83.5,86.1,88.0,88.8,87.0,87.3,92.6,90.9,90.7
Robertson,93.4,94.4,93.5,93.8,82.5,89.8,90.1,85.4,87.4,88.8,89.6,90.5,89.9,95.0,92.6,93.2,95.6,89.4,89.0,92.1,87.5,84.0,86.5,94.3,87.4,88.7,92.8,89.0,99.7,90.2,92.7
Sanchez,87.2,83.2,84.3,87.8,85.2,83.9,90.0,83.8,82.9,85.4,85.3,87.6,84.2,85.9,89.3,90.0,89.2,79.4,86.4,83.2,81.5,77.7,81.1,87.8,83.1,82.0,84.6,86.6,87.8,89.9,88.9
Segovia,92.3,90.2,91.2,93.2,91.8,91.8,91.8,92.1,94.3,83.3,78.4,89.1,90.4,92.1,90.9,89.7,91.2,91.1,88.9,91.0,86.9,86.3,91.2,81.2,87.3,84.8,84.9,88.9,81.2,91.8,90.4
Smith,90.7,91.1,91.8,92.3,79.7,79.9,89.5,78.3,80.5,81.5,83.5,85.8,86.1,86.9,87.6,88.5,88.6,84.1,85.0,84.2,83.8,78.4,78.0,82.8,83.2,84.8,85.5,85.5,86.9,87.5,89.0
Stevenson,91.2,92.0,91.8,93.1,91.1,91.6,89.0,87.7,92.5,90.2,89.3,87.6,85.6,88.9,89.3,90.2,91.8,89.3,87.9,91.3,91.2,86.3,81.3,87.1,86.7,86.1,85.7,86.5,89.2,90.5,89.8
Stiles,89.5,89.5,87.8,88.5,89.3,87.2,87.3,81.6,86.5,87.7,85.3,86.4,86.6,85.9,87.5,90.0,86.0,85.8,86.4,86.0,84.2,85.8,86.4,82.0,80.4,81.6,81.0,81.6,87.0,89.9,88.7
Stringfellow,90.6,92.7,89.6,91.6,90.3,93.5,87.8,80.1,85.7,86.6,83.7,82.3,86.4,88.6,87.7,90.3,90.7,86.7,85.4,88.0,84.6,87.3,83.0,81.1,76.8,80.0,79.8,81.6,83.9,87.6,90.2
Telford,90.2,91.0,92.5,92.6,90.9,89.2,89.1,79.9,82.3,87.0,86.5,86.3,87.8,87.5,88.9,89.6,89.5,84.2,83.8,85.4,84.5,83.2,82.3,85.5,82.6,79.4,81.0,84.4,86.7,85.9,88.1
Terrell,92.5,93.0,92.5,84.5,92.9,92.0,84.0,81.5,87.2,88.2,83.4,82.9,82.8,88.7,88.5,90.5,90.3,85.3,87.7,87.1,81.0,88.2,84.3,80.7,77.9,77.9,79.5,85.5,90.2,90.3,92.3
Torres,90.7,90.2,91.5,91.7,89.9,90.0,91.0,92.6,84.6,93.3,91.4,91.3,81.6,86.8,89.6,90.1,89.7,83.8,89.7,83.8,91.3,88.3,83.8,85.7,88.4,89.3,87.7,84.6,82.5,88.7,90.1
Vance,94.5,95.5,93.8,95.7,94.9,85.3,83.8,81.2,90.4,91.5,89.1,83.4,87.6,90.7,92.9,93.1,91.5,84.5,89.5,91.0,91.9,90.1,86.4,87.5,79.7,83.5,81.2,87.7,92.0,91.9,94.8
Wainwright,90.0,90.1,89.0,90.8,89.3,89.1,88.0,89.3,84.6,84.4,89.1,85.0,86.4,86.6,86.4,89.6,86.7,84.9,83.8,89.9,83.7,80.6,82.2,83.2,78.8,81.1,83.5,85.7,86.7,90.5,90.8
Wallace,90.4,90.3,94.1,93.8,81.4,87.6,86.0,86.2,91.0,87.0,88.7,91.7,91.2,90.1,92.6,93.6,92.4,87.2,88.2,88.3,88.0,83.7,85.0,87.7,89.2,91.3,91.2,91.3,92.3,90.3,92.0
Wheeler,83.8,81.9,82.4,89.0,74.7,81.9,81.0,77.0,84.5,82.7,83.1,83.7,80.9,81.7,82.0,83.0,85.3,83.1,88.5,85.5,80.7,72.7,80.6,82.2,81.5,83.1,81.2,85.2,81.6,84.3,83.6
Woodman,91.3,90.7,95.2,91.1,90.4,92.9,92.7,85.2,92.1,91.4,86.4,86.8,88.2,92.1,92.0,90.5,86.2,85.6,86.0,90.5,81.5,82.8,82.5,87.7,83.7,83.5,87.2,84.8,89.8,90.6,92.8
Wynne,94.6,92.2,91.5,91.1,91.5,88.8,82.4,76.1,87.1,87.9,89.1,85.2,86.7,86.5,89.5,89.8,90.2,86.6,88.6,88.4,89.3,83.9,80.2,84.2,76.4,78.9,80.4,84.9,89.3,90.0,90.9
Young,93.8,92.3,90.6,90.9,92.6,90.5,90.4,80.2,89.6,90.7,81.8,83.1,88.6,89.8,87.8,91.4,80.9,85.6,99.0,89.7,81.6,82.6,91.6,78.7,77.7,80.7,76.7,86.0,90.0,90.0,90.2
